instance_id,page,sequence,place_name_in_text,place,place_id,latitude,longitude,special,note,flagged,added,added_by,space,time,order,zoom
5896,182,10,Charleville Mall,"Charleville Mall, Ballybough, Dublin, Ireland",1650,53.3567683,-6.2450966,conmee,,,2016-11-30,Moacir,1,15'15'00,31,
5897,182,11,Newcomen bridge,"Newcomen Bridge, Dublin, Ireland",1651,53.356552,-6.244238,conmee,,,2016-11-30,Moacir,1,15'16'00,32,
5898,182,12,saint Francis Xavier's church,"Church of St. Francis Xavier, Gardiner St., Dublin",1624,53.357846,-6.26001,conmee,,,2016-11-30,Moacir,0,15'16'05,33,16
5899,182,13,upper Gardiner street,"Gardiner Street Upper, Dublin, Ireland",1652,53.3579644,-6.2602593,conmee,,,2016-11-30,Moacir,0,15'16'10,34,16
5900,182,14,saint Agatha's church,"Catholic Church of St. Agatha, Dublin",1653,53.356875,-6.246227,nicholas dudley,,,2016-11-30,Moacir,0,15'16'15,35,16
5901,182,15,north William street,"William St N, Ballybough, Dublin, Ireland",1654,53.3569219,-6.2467897,nicholas dudley,,,2016-11-30,Moacir,0,15'16'20,36,16
5902,182,16,Newcomen bridge,"Newcomen Bridge, Dublin, Ireland",1651,53.356552,-6.244238,nicholas dudley,,,2016-11-30,Moacir,1,15'16'25,37,
5903,182,17,Newcomen bridge,"Newcomen Bridge, Dublin, Ireland",1651,53.356552,-6.244238,conmee,,,2016-11-30,Moacir,1,15'16'00,38,
5904,182,18,Mud Island,"Fairview Park, Clontarf West, Dublin, Ireland",1655,53.3622075,-6.2331873,conmee,,,2016-11-30,Moacir,0,15'16'30,39,14
5905,182,19,the ivy church,"North Strand Episcopal Church, Dublin",1656,53.358546,-6.241933,conmee,,,2016-11-30,Moacir,1,15'17'00,40,
5906,183,1,Annesley bridge,"Annesley Bridge, Clontarf West, Dublin, Ireland",1657,53.3609052,-6.2387165,conmee,,,2016-11-30,Moacir,1,15'18'00,41,
5907,183,2,Howth road stop,"Howth Rd Stop, Dublin, Ireland",1658,53.364422,-6.22946,conmee,,,2016-11-30,Moacir,1,15'20'00,42,
5908,183,3,Malahide road,"Malahide Rd, Dublin, Ireland",1659,53.365877,-6.228883,conmee,,,2016-11-30,Moacir,1,15'21'00,43,
5909,183,4,Malahide,"Malahide, Ireland",1660,53.45083,-6.15444,conmee,,,2016-11-30,Moacir,0,15'21'20,44,11
5910,183,5,Malahide,"Malahide, Ireland",1660,53.45083,-6.15444,conmee,,,2016-11-30,Moacir,0,15'21'30,45,11
5911,183,6,Malahide,"Malahide, Ireland",1660,53.45083,-6.15444,conmee,,,2016-11-30,Moacir,0,15'21'40,46,11
5912,183,7,lough Ennel,Lough Ennell,1661,53.46667,-7.4,mary rochfort,,,2016-11-30,Moacir,0,15'23'00,47,11
5913,184,1,Rathcoffey,"Rathcoffey, Ireland",1662,53.33556,-6.6925,conmee,,,2016-11-30,Moacir,0,15'24'40,48,9
5914,184,2,Clongowes field,"Clongowes Wood College, Co. Kildare",1663,53.310769,-6.684716,conmee,,,2016-11-30,Moacir,0,15'25'10,49,13
5915,185,1,Dollymount,Dollymount,1664,53.36489,-6.18032,conmee,,,2016-12-01,Moacir,0,15'16'00,50,11
5916,185,2,Newcomen bridge,"Newcomen Bridge, Dublin, Ireland",1651,53.356552,-6.244238,conmee,,,2016-12-01,Moacir,1,15'16'10,51,
5917,185,3,window in Eccles street,"7 Eccles St, Dublin, Ireland",1665,53.357792,-6.264439,molly,,,2016-12-01,Moacir,1,15'16'20,52,
5918,185,4,MacConnell's corner,"112 Dorset Street Lower, Inns Quay, Dublin",1666,53.3577138481,-6.2637868524,onelegged sailor,,,2016-12-01,Moacir,1,15'13'00,53,
6461,185,5,Eccles street,"Eccles St, Dublin, Ireland",1928,53.3582726,-6.2664852,onelegged sailor,,,2016-12-17,Moacir,1,15'13'30,54,
5919,185,6,his doorway,"74 Dorset Street Upper, Dublin",1667,53.3574417131,-6.2641248107,onelegged sailor,Larry O'Rourke's store,,2016-12-01,Moacir,1,15'14'00,55,
6176,185,7,England,England,320,51.5,-0.116667,onelegged sailor,,,2016-12-06,Moacir,0,15'14'05,56,4
5920,185,8,warehouse,"Chapter House of St. Mary's Abbey, Dublin",1668,53.3475476286,-6.2693738937,lambert,,,2016-12-01,Moacir,0,15'14'10,57,16
6177,185,9,England,England,320,51.5,-0.116667,onelegged sailor,,,2016-12-06,Moacir,0,15'14'20,58,4
5921,185,10,window,"7 Eccles St, Dublin, Ireland",1665,53.357792,-6.264439,molly,,,2016-12-01,Moacir,1,15'16'20,59,
5922,186,1,kitchen,"7 St Peter's Rd, Cabra East, Dublin, Ireland",1669,53.3611553,-6.2769627,katey and boody,,,2016-12-01,Moacir,1,15'25'00,60,
6171,186,2,Clongowes fields,"Clongowes Wood College, Co. Kildare",1663,53.310769,-6.684716,conmee,,,2016-12-05,Moacir,0,15'25'10,61,13
5923,186,3,M'Guinness's,"38 Gardiner Street Upper, Mountjoy, Dublin",1670,53.3587863,-6.2614578,maggy,,,2016-12-01,Moacir,0,15'25'40,62,16
5924,186,4,Sister Mary Patrick,"Convent of the Sisters of Charity, Dublin",1628,53.3576463,-6.2599254,maggy,,,2016-12-01,Moacir,0,15'26'30,63,16
6175,186,5,Liffey,River Liffey,43,53.34556,-6.21694,throwaway,,,2016-12-05,Moacir,1,15'27'00,64,
5925,186,6,Loopline bridge,"Loopline Bridge, Dublin",1671,53.347874,-6.254632,throwaway,,,2016-12-01,Moacir,1,15'27'10,65,
5926,187,1,Customhouse old dock,"Custom House, Dublin, Ireland",1672,53.34844,-6.253186,throwaway,,,2016-12-01,Moacir,1,15'27'20,66,
5927,187,2,George's quay,"George's Quay, Dublin",1673,53.347469,-6.253322,throwaway,,,2016-12-01,Moacir,1,15'28'00,67,
5928,187,3,Thornton's,"63 Grafton Street, Dublin 2, D02 FX05, Ireland",1674,53.3406408,-6.2610531,boylan,,,2016-12-01,Moacir,1,15'05'00,68,
5930,187,4,H.E.L.Y'S,"27-30 Dame St, Dublin, Ireland",1676,53.344154,-6.263761,helys,,,2016-12-01,Moacir,0,15'06'00,69,16
5929,187,5,Tangier lane,"Tangier Lane, Dublin",1675,53.34057,-6.261004,helys,,,2016-12-01,Moacir,1,15'07'00,70,
5931,187,5,Merchants' arch,"Merchant's Arch, Dublin, Ireland",1677,53.3457697,-6.2628772,bloom,,,2016-12-01,Moacir,1,15'08'00,71,
5932,188,1,Goldsmith's knobby poll,"Oliver Goldsmith statue, Trinity College, Dublin",1678,53.34437,-6.259196,artifoni,,,2016-12-01,Moacir,1,15'22'00,72,
5933,188,2,Trinity,"Trinity College, Dublin",1679,53.344451,-6.257796,tourists,,,2016-12-01,Moacir,1,15'22'30,73,
5934,188,3,bank of Ireland,"Bank of Ireland, Dublin",1680,53.344882,-6.260191,tourists,,,2016-12-01,Moacir,1,15'22'40,74,
5935,188,4,stone hand of Grattan,"Henry Grattan statue, Dublin",1681,53.344424,-6.259874,soldiers,,,2016-12-01,Moacir,1,15'23'00,75,
5936,188,5,Inchicore,Inchicore,1682,53.34087,-6.33091,soldiers,,,2016-12-01,Moacir,0,15'23'10,76,14
5937,188,6,Dalkey,Dalkey,1683,53.27833,-6.10028,artifoni,,,2016-12-01,Moacir,0,15'23'30,77,14
5938,188,7,Dalkey,Dalkey,1683,53.27833,-6.10028,artifoni,,,2016-12-01,Moacir,0,15'24'00,78,14
5939,188,8,Trinity gates,"Gates of Trinity College, Dublin",1684,53.344478,-6.259377,soldiers,,,2016-12-01,Moacir,1,15'24'10,79,
5940,188,9,Capel street library,"106 Capel St, Dublin",1685,53.349606684,-6.2693443894,miss dunne,,,2016-12-01,Moacir,0,15'07'00,80,16
5941,188,10,her drawer,"15 D'Olier Street, Dublin 2, D02 RW31, Ireland",1686,53.3460387,-6.2578924,miss dunne,speculative location of Boylan's office,,2016-12-01,Moacir,1,15'07'10,81,
5942,188,11,Monypeny's,"52 Grafton Street, Dublin, Ireland",1687,53.3400855218,-6.2608739734,helys,,,2016-12-01,Moacir,1,15'09'00,82,
5943,188,12,slab where Wolfe Tone's statue was not,"Wolfe Tone statue, Dublin (planned)",1688,53.339707,-6.260552,helys,,,2016-12-01,Moacir,1,15'09'10,83,
6172,188,13,H.E.L.Y'S,"27-30 Dame St, Dublin, Ireland",1676,53.344154,-6.263761,helys,,,2016-12-05,Moacir,0,15'09'20,84,16
5944,189,1,Belfast,Belfast,82,54.59682,-5.92541,miss dunne,,,2016-12-01,Moacir,0,15'12'00,85,10
5945,189,2,Liverpool,Liverpool,1689,53.41058,-2.97794,miss dunne,,,2016-12-01,Moacir,0,15'12'10,86,10
5946,189,3,the Ormond,"8 Ormond Quay Upper, North City, Dublin",1690,53.346068,-6.269139,miss dunne,,,2016-12-01,Moacir,0,15'12'30,87,16
5953,189,4,Ringabella,Ringabella Point,1694,51.77028,-8.305,omolloy,,,2016-12-01,Moacir,0,15'18'00,88,11
5954,189,5,Crosshaven,Crosshaven,1695,51.79833,-8.30083,omolloy,,,2016-12-01,Moacir,0,15'18'10,89,13
5947,189,6,council chamber of st. Mary's abbey,"Chapter House of St. Mary's Abbey, Dublin",1668,53.3475476286,-6.2693738937,lambert,,,2016-12-01,Moacir,1,15'26'20,90,
5948,189,7,Dublin,Dublin,27,53.33306,-6.24889,lambert,,,2016-12-01,Moacir,0,15'26'35,91,10
5949,189,8,old bank of Ireland,"old Bank of Ireland, Dublin, Ireland",1691,53.347196,-6.270062,lambert,,,2016-12-01,Moacir,1,15'26'40,92,
5950,189,9,original jews' temple,19th C. Dublin Synagogue,1852,53.347388,-6.269681,lambert,,,2016-12-01,Moacir,1,15'26'50,93,
5951,189,10,synagogue over in Adelaide road,"Adelaide Road Synagogue, Dublin",1692,53.332215,-6.256027,lambert,,,2016-12-01,Moacir,0,15'27'00,94,16
5952,189,11,Dame walk,"Dame St, Dublin, Ireland",1693,53.344183,-6.2648142,hugh love,,,2016-12-01,Moacir,0,15'27'20,95,16
5955,189,12,mansion of the Kildares,"Thomas Ct, Dublin, Co. Dublin City, Ireland",1697,53.3423154,-6.2817912,hugh love,Shaky.,,2016-12-01,Moacir,0,15'27'30,96,16
5956,189,13,Thomas court,"Thomas Ct, Dublin, Co. Dublin City, Ireland",1697,53.3423154,-6.2817912,hugh love,"Gifford writes: Thomas Court was the main street of the walled city of medieval Dublin. I haven't found maps of this. Compare to, for example: http://dublindecoded.com/wp-content/uploads/2014/05/dublin-1610.jpg, http://www.wikiwand.com/en/Liberty_of_Thomas_Court_and_Donore, etc.",,2016-12-01,Moacir,0,15'27'40,97,16
5957,190,1,Mary's abbey,"Mary's Abbey, Dublin, Ireland",1698,53.3471393,-6.2694042,lambert,,,2016-12-01,Moacir,1,15'28'00,98,
5958,190,2,Wexford,"Wexford, Ireland",1699,52.336916,-6.4633381,lambert,,,2016-12-01,Moacir,0,15'28'30,99,11
5959,190,3,Rathcoffey,"Rathcoffey, Ireland",1662,53.33556,-6.6925,lambert,,,2016-12-01,Moacir,0,15'29'00,100,9
5960,190,4,Sallins,Sallins,1700,53.24889,-6.66611,lambert,,,2016-12-01,Moacir,0,15'29'20,101,14
5961,190,5,Kildare,Kildare,1701,53.15611,-6.91444,lambert,,,2016-12-01,Moacir,0,15'30'00,102,13
5962,190,6,Cashel cathedral,Rock of Cashel,1702,52.520065,-7.890448,lambert,,,2016-12-01,Moacir,0,15'30'20,103,16
5963,190,7,Glasnevin,"Glasnevin Cemetery, Dublin",1703,53.3695621,-6.2768536,lambert,,,2016-12-01,Moacir,0,15'31'05,104,13
5964,191,1,consolidated taxing office,"Four Courts, Inns Quay, Smithfield, Dublin",1704,53.345933,-6.273477,richie goulding,seen by lawyers,,2016-12-01,Moacir,1,15'08'00,105,
5965,191,2,Nisi Prius court,"Four Courts, Inns Quay, Smithfield, Dublin",1704,53.345933,-6.273477,richie goulding,,,2016-12-01,Moacir,1,15'08'10,106,
5966,191,3,admiralty division of king's bench,"Four Courts, Inns Quay, Smithfield, Dublin",1704,53.345933,-6.273477,elderly female with false teeth,heard by lawyers,,2016-12-01,Moacir,1,15'08'20,107,
5967,191,4,court of appeal,"Four Courts, Inns Quay, Smithfield, Dublin",1704,53.345933,-6.273477,elderly female with false teeth,,,2016-12-01,Moacir,1,15'08'30,108,
5968,191,5,Ormond,"8 Ormond Quay Upper, North City, Dublin",1690,53.346068,-6.269139,lenehan,,,2016-12-01,Moacir,0,15'09'00,109,16
5969,191,6,Crampton court,"Crampton Court, Dublin",1705,53.344612,-6.266518,lenehan,,,2016-12-01,Moacir,1,15'10'00,110,
5970,191,7,Dan Lowry's musichall,"Olympia Theatre, Dublin, Co. Dublin, Ireland",1706,53.344278,-6.266111,lenehan,,,2016-12-01,Moacir,1,15'11'00,111,
5971,191,8,Sycamore street,"Sycamore St, Dublin, Ireland",1707,53.3448366,-6.2657928,lenehan,,,2016-12-01,Moacir,1,15'20'20,112,
5972,191,9,Empire musichall,"Olympia Theatre, Dublin, Co. Dublin, Ireland",1706,53.344278,-6.266111,lenehan,,,2016-12-01,Moacir,1,15'20'40,113,
5973,191,10,the Dolphin,"9 Sycamore St, Dublin",1853,53.345071,-6.26584,lenehan,This is an extension of the Dolphin down the street.,,2016-12-01,Moacir,1,15'12'00,114,
5974,191,11,Jervis street,"Jervis St, Dublin, Ireland",1709,53.3482321,-6.2664445,lenehan,,,2016-12-01,Moacir,0,15'12'20,115,16
5975,191,12,Lynam's,"Temple Bar, Dublin",1713,53.3455172963,-6.2631458044,lenehan,,,2016-12-01,Moacir,1,15'12'40,116,
5976,191,13,Marcus Tertius Moses's somber office,"30 Essex St E, Dublin 2, D02 CC02, Ireland",1711,53.3453254,-6.2651653,lenehan,,,2016-12-01,Moacir,1,15'13'00,117,
5977,191,14,O'Neill's clock,"29 Essex St E, Dublin 2, D02 XH60, Ireland",1712,53.3453586,-6.2648045,lenehan,,,2016-12-01,Moacir,1,15'13'10,118,
5978,192,1,Temple bar,"Temple Bar, Dublin",1713,53.3455172963,-6.2631458044,mcoy,,,2016-12-01,Moacir,1,15'14'00,119,
5979,192,2,gates of the drive,"�ras an Uachtar�in, Phoenix Park, Dublin, Ireland",1809,53.3603656,-6.3184436,viceregal cavalcade,,,2016-12-01,Moacir,1,15'14'10,120,
5980,192,3,Merchants' arch,"Merchant's Arch, Dublin, Ireland",1677,53.3457697,-6.2628772,lenehan,,,2016-12-01,Moacir,1,15'16'00,121,
5981,192,4,Liffey street,"Liffey Street Lower, North City, Dublin, Ireland",1715,53.3472698,-6.2634081,mcoy,,,2016-12-01,Moacir,0,15'16'25,122,16
5982,192,5,metal bridge,"Ha'penny Bridge, Dublin, Ireland",1716,53.3463961,-6.2631561,lenehan,,,2016-12-01,Moacir,1,15'16'40,123,
5983,192,6,Wellington quay,"Wellington Quay, Dublin, Ireland",1717,53.3457264,-6.2650597,lenehan,,,2016-12-01,Moacir,1,15'17'00,124,
5984,192,7,Mangan's,"1 William St S, Dublin 2, D02 K339, Ireland",1718,53.3429377,-6.2622044,master dignam,,,2016-12-01,Moacir,1,15'17'20,125,
5985,192,8,late Fehrenbach's,"1 William St S, Dublin 2, D02 K339, Ireland",1718,53.3429377,-6.2622044,master dignam,,,2016-12-01,Moacir,1,15'17'30,126,
5986,192,9,Glencree reformatory,Glencree Centre for Peace and Reconciliation,1719,53.199156,-6.292184,lenehan,,,2016-12-01,Moacir,0,15'17'40,127,16
5987,192,10,number 7 Eccles street,"7 Eccles St, Dublin, Ireland",1665,53.357792,-6.264439,molly,,,2016-12-01,Moacir,1,15'17'50,128,
5988,192,11,Delahunt of Camden street,"42 Camden Street Lower, Saint Kevin's, Dublin",1720,53.3343703,-6.2653021,lenehan,,,2016-12-01,Moacir,0,15'18'05,129,16
5989,193,1,Featherbed Mountain,"Featherbed Pass, Ireland",1721,53.233708,-6.322455,lenehan,,,2016-12-01,Moacir,0,15'18'20,130,13
5990,194,1,O'Connell bridge,"O'Connell Bridge, Dublin, Ireland",1722,53.3472403,-6.2592059,maginni,,,2016-12-01,Moacir,1,15'17'00,131,
5991,194,2,building of the courts of chancery,"Four Courts, Inns Quay, Smithfield, Dublin",1704,53.345933,-6.273477,elderly female with false teeth,,,2016-12-01,Moacir,1,15'17'30,132,
5992,194,3,bookshop,"Merchant's Arch, Dublin, Ireland",1677,53.3457697,-6.2628772,bloom,,,2016-12-01,Moacir,1,15'18'00,133,
5993,195,1,Dillon's auctionrooms,"25 Bachelors Walk, North City, Dublin, Ireland",1723,53.347281,-6.260778,lacquey,,,2016-12-02,Moacir,1,15'22'00,134,
5994,195,2,curbstone,"Bachelors Walk, North City, Dublin, Ireland",1724,53.3471249,-6.2609754,dilly,,,2016-12-02,Moacir,1,15'22'10,135,
5995,195,3,the curve,"College Park, Dublin, Ireland",1725,53.3430192784,-6.2543213367,cyclists,,,2016-12-02,Moacir,1,15'22'20,136,
5996,195,4,College Library,"Trinity College Libraries, Dublin",1726,53.343211,-6.256847,cyclists,,,2016-12-02,Moacir,1,15'22'30,137,15
5997,195,5,Williams's row,"Bachelors Way, North City, Dublin, Ireland",1727,53.3476995,-6.260132,dedalus,,,2016-12-02,Moacir,1,15'23'00,138,
5998,195,6,Dublin,Dublin,27,53.33306,-6.24889,dedalus,,,2016-12-02,Moacir,0,15'23'20,139,10
5999,195,7,James's street,"James's St, Ushers, Dublin, Co. Dublin, Ireland",1728,53.343478,-6.28836,kernan,,,2016-12-02,Moacir,1,15'25'00,140,
6000,195,8,Scotch house,"8 Burgh Quay, Dublin, Ireland",1729,53.347119,-6.257479,dedalus,,,2016-12-02,Moacir,0,15'25'30,141,16
6001,196,1,O'Connell street,"O'Connell Street, Dublin, Ireland",1730,53.3498053,-6.2603097,dedalus,,,2016-12-02,Moacir,0,15'26'00,142,16
6002,196,2,Parkgate,"Parkgate St, Dublin, Co. Dublin, Ireland",1731,53.3479361,-6.292461,viceregal cavalcade,,,2016-12-02,Moacir,1,15'26'10,143,
6003,196,3,sundial,James Street Sundial,1732,53.343292,-6.290288,kernan,,,2016-12-02,Moacir,1,15'25'00,144,
6004,196,4,James's gate,"James's Gate, Dublin",1733,53.343507,-6.285046,kernan,,,2016-12-02,Moacir,0,15'25'20,145,16
6005,196,5,Pulbrook Robertson,"5 Dame St, Dublin, Ireland",1734,53.344127,-6.266879,kernan,,,2016-12-02,Moacir,0,15'25'35,146,16
6006,196,6,James's street,"James's St, Ushers, Dublin, Co. Dublin, Ireland",1728,53.343478,-6.28836,kernan,,,2016-12-02,Moacir,1,15'25'40,147,
6007,196,7,Shackleton's offices,"35 James's St, Ushers, Dublin, Ireland",1735,53.3431858174,-6.2898820639,kernan,,,2016-12-02,Moacir,1,15'26'00,148,
6008,196,8,Crimmins,"27 James's St, Ushers, Dublin, Ireland",1736,53.3428655494,-6.2911695242,kernan,"The pub isn't exactly mentioned, and Gifford lists it at 27-28, meaning it's not between Shackleton (35) and Peter Kennedy's (48)",,2016-12-02,Moacir,0,15'26'20,149,16
6009,196,9,other establishment in Pimlico,"61 Pimlico, Merchants Quay, Dublin",1737,53.3400236,-6.2807813,kernan,,,2016-12-02,Moacir,0,15'26'40,150,16
6010,197,1,America,United States,86,39.76,-98.5,kernan,,,2016-12-02,Moacir,0,15'27'05,151,2
6011,197,2,America,United States,86,39.76,-98.5,kernan,,,2016-12-02,Moacir,0,15'27'10,152,2
6012,197,3,"Peter Kennedy, hairdresser","48 James's St, Ushers, Dublin, Ireland",1738,53.343346,-6.288707,kernan,,,2016-12-02,Moacir,1,15'28'10,153,
6013,197,4,Dawson street,"Dawson Street, Dublin",63,53.3409844,-6.2605309,kernan,,,2016-12-02,Moacir,0,15'28'20,154,16
6014,197,5,Kildare street club,"17 St Stephen's Green, Dublin 2, D02 ND68, Ireland",1739,53.3394379,-6.2579544,kernan,,,2016-12-02,Moacir,0,15'28'30,155,16
6015,197,6,Carlisle bridge,"O'Connell Bridge, Dublin, Ireland",1722,53.3472403,-6.2592059,kernan,,,2016-12-02,Moacir,0,15'28'40,156,14
6016,197,7,North wall,North Wall,1740,53.34768,-6.22848,throwaway,,,2016-12-02,Moacir,1,15'29'00,157,
6017,197,8,sir John Rogerson's quay,"Sir John Rogerson's Quay, Dublin",1741,53.3460212,-6.2387139,throwaway,,,2016-12-02,Moacir,1,15'29'10,158,
6018,197,9,Down there Emmet was hanged,"Saint Catherine's Church, Dublin",1742,53.342915,-6.28116,kernan,,,2016-12-02,Moacir,1,15'29'20,159,
6019,197,10,saint Michan's,"Saint Michan's Graveyard, Dublin",1743,53.347469,-6.276234,kernan,,,2016-12-02,Moacir,0,15'29'30,160,16
6020,197,11,Glasnevin,"Glasnevin Cemetery, Dublin",1703,53.3695621,-6.2768536,kernan,,,2016-12-02,Moacir,0,15'29'40,161,13
6021,198,1,Watling street,"Watling St, Ushers, Dublin, Ireland",1744,53.3450966,-6.284776,kernan,,,2016-12-02,Moacir,1,15'30'00,162,
6022,198,2,Guinness's visitor's waitingroom,Guinness visitor's waiting room,1745,53.343630986,-6.2846973538,kernan,,,2016-12-02,Moacir,1,15'30'00,163,
6023,198,3,Dublin Distillers Company's stores,"32 Watling St, Ushers, Dublin, Ireland",1746,53.3451970457,-6.2845337391,kernan,,,2016-12-02,Moacir,1,15'30'20,164,
6024,198,4,Tipperary,County Tipperary,1747,52.66667,-7.83333,kernan,,,2016-12-02,Moacir,0,15'30'30,165,8
6025,198,5,John Henry Menton's office,"27 Bachelors Walk, North City, Dublin, Ireland",1748,53.3472579,-6.2604946,denis breen,,,2016-12-02,Moacir,0,15'30'50,166,16
6026,198,6,O'Connell bridge,"O'Connell Bridge, Dublin, Ireland",1722,53.3472403,-6.2592059,denis breen,,,2016-12-02,Moacir,1,15'31'00,167,
6027,198,7,office of Messrs Collis and Ward,"31 Dame St, Dublin, Ireland",1749,53.344198,-6.2635201,denis breen,,,2016-12-02,Moacir,0,15'31'10,168,16
6028,198,8,Island street,"Island St, Ushers, Dublin, Ireland",1750,53.34563,-6.28257,kernan,,,2016-12-02,Moacir,1,15'31'20,169,
6029,198,9,Daly's,"3 College Green, Dublin 2, D02 XH97, Ireland",1751,53.3444416,-6.2614558,kernan,,,2016-12-02,Moacir,0,15'31'30,170,16
6030,198,10,Somewhere here,"Watling St, Ushers, Dublin, Ireland",1744,53.3450966,-6.284776,kernan,,,2016-12-02,Moacir,1,15'31'35,171,
6031,198,11,Moira house,"Moira House, Dublin",1752,53.346149,-6.281837,kernan,,,2016-12-02,Moacir,0,15'31'40,172,16
6032,198,12,Ross,"New Ross, Ireland",1753,52.39667,-6.93667,kernan,,,2016-12-02,Moacir,0,15'31'50,173,14
6033,198,13,Pembroke quay,"Pembroke Quay, Dublin, Ireland",1754,53.34693,-6.283238,viceregal cavalcade,,,2016-12-02,Moacir,1,15'32'00,174,
6034,198,14,the webbed window,"57 Fleet St, Dublin 2, D02 A375, Ireland",1755,53.345600561,-6.2616679072,stephen,,,2016-12-02,Moacir,1,15'30'00,175,
